,Serial Number,SMILES,Number of Unique Zeolites,List of Zeolites
0,1,C(CC1CCNCC1)CC1CCNCC1,83,"['AEI', 'AFI', 'AFN', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DDR', 'DFO', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EWS', 'FER', 'GME', 'IFO', 'IFR', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITG', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JST', 'KFI', 'LEV', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MWW', 'OWE', 'PHI', 'POS', 'PWN', 'PWO', 'PWW', 'RHO', 'RTH', 'SAO', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOF', 'SOR', 'SSF', 'STI', 'STO', 'STW', 'SWY', 'UFI', 'UOV', 'UOZ', 'UTL', 'VFI']"
1,2,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,34,"['AEL', 'AFS', 'BEA', 'BEC', 'BOG', 'BPH', 'CTH', 'DFO', 'EMT', 'ETR', 'EWS', 'IRN', 'IRR', 'ISV', 'ITG', 'ITT', 'LTL', 'MEI', 'MOR', 'MOZ', 'MSE', 'MWW', 'POS', 'SAO', 'SBE', 'SFG', 'SFS', 'SOV', 'SSF', 'SWY', 'TON', 'TUN', 'UTL', 'VFI']"
2,3,C(CCCC[N+]12CCN(CC1)CC2)CCC[N+]12CCN(CC1)CC2,37,"['AEL', 'AFS', 'BEA', 'BEC', 'BOG', 'BPH', 'CON', 'CTH', 'DFO', 'EMT', 'ETR', 'EWS', 'IRN', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'KFI', 'LTL', 'MEI', 'MOR', 'MOZ', 'MSE', 'MWW', 'POS', 'SAO', 'SAV', 'SBE', 'SFG', 'SFS', 'SOV', 'SSF', 'SWY', 'TUN', 'UTL', 'VFI']"
3,4,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,40,"['AEL', 'AFR', 'AFS', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CTH', 'DFO', 'EMT', 'ETR', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWW', 'KFI', 'LTL', 'MEI', 'MOR', 'MSE', 'MTW', 'MWW', 'POS', 'SAO', 'SBE', 'SFG', 'SFS', 'SOV', 'SSF', 'SWY', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
4,5,C(CCC[N+]12CCC(CC1)CN2)CC[N+]12CCC(CC1)CN2,45,"['AEL', 'AFS', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CTH', 'DFO', 'EEI', 'EMT', 'ETR', 'EUO', 'EWS', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWW', 'KFI', 'LTL', 'MEI', 'MEL', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'SAO', 'SBE', 'SEW', 'SFG', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'SWY', 'TON', 'TUN', 'UTL', 'VFI']"
5,6,C(CCC[N+]12CCN(CC1)CC2)CC[N+]12CCN(CC1)CC2,42,"['AEL', 'AFS', 'AFY', 'BEA', 'BEC', 'BOG', 'BPH', 'CON', 'CTH', 'DFO', 'EMT', 'ETR', 'EUO', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWW', 'KFI', 'LTL', 'MEI', 'MEL', 'MOR', 'MOZ', 'MSE', 'MWW', 'POS', 'SAO', 'SBE', 'SEW', 'SFG', 'SFS', 'SOR', 'SOV', 'SSF', 'SWY', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
6,7,C(CCN1CCOCCOCCOCCOCC1)CCN1CCOCCOCCOCCOCC1,20,"['AFS', 'BEA', 'BEC', 'BOG', 'BOZ', 'DFO', 'ETR', 'FAU', 'IRR', 'ITT', 'MEI', 'MSE', 'POS', 'SAO', 'SBE', 'SFS', 'SOV', 'SSF', 'UTL', 'VFI']"
7,8,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,18,"['AFS', 'BEA', 'BOG', 'BOZ', 'DFO', 'EMT', 'ETR', 'FAU', 'IRR', 'ITT', 'MWW', 'POS', 'SAO', 'SBE', 'SFS', 'SOV', 'SSF', 'VFI']"
8,9,C(CC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,43,"['AEL', 'AET', 'AFS', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CTH', 'DFO', 'EMT', 'ETR', 'EUO', 'GIU', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'MEI', 'MSE', 'MWW', 'OKO', 'PCS', 'POS', 'SAO', 'SBE', 'SBS', 'SFG', 'SFS', 'SOV', 'SSF', 'SWY', 'TER', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
9,10,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,53,"['AEL', 'AET', 'AFS', 'AFT', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CTH', 'DFO', 'EEI', 'EMT', 'ETR', 'EUO', 'GIU', 'GME', 'IFY', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWS', 'IWW', 'LTL', 'MEI', 'MFI', 'MOZ', 'MSE', 'MWW', 'OKO', 'PCS', 'POS', 'SAO', 'SBE', 'SBS', 'SBT', 'SFG', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'SWY', 'TER', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
10,11,C(CC[N+]12CCC(CC1)NC2)CC[N+]12CCC(CC1)NC2,43,"['AEL', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CTH', 'DFO', 'EEI', 'EMT', 'ETR', 'EUO', 'GME', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWW', 'MEI', 'MEL', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'SAO', 'SBE', 'SFG', 'SFS', 'SFW', 'SOV', 'SSF', 'SWY', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
11,12,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,58,"['AEL', 'AET', 'AFS', 'AFT', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CTH', 'DFO', 'EEI', 'EMT', 'ETR', 'EUO', 'FAU', 'GIU', 'GME', 'IFY', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWS', 'IWW', 'LIO', 'LTL', 'MEI', 'MOR', 'MOZ', 'MSE', 'MWW', 'OFF', 'OKO', 'PCS', 'POS', 'SAO', 'SAT', 'SBE', 'SBS', 'SBT', 'SFG', 'SFS', 'SOR', 'SOV', 'SSF', 'SWY', 'TER', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
